season,week,game_id,game_date,season_type,posteam,home_team,away_team,passer_player_name,receiver_player_name,passing_yards,pass_touchdown,first_down
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,K.Brady,20,0,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,R.Moss,3,1,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,K.Faulk,4,0,0
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,W.Welker,10,0,0
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,W.Welker,11,0,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,R.Moss,45,0,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,J.Gaffney,4,1,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,R.Moss,7,0,0
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,W.Welker,37,0,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,W.Welker,10,0,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,W.Welker,-1,0,0
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,K.Faulk,10,0,1
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,K.Faulk,9,0,0
2007,3,2007_03_BUF_NE,2007-09-23,REG,NE,NE,BUF,T.Brady,R.Moss,45,1,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,6,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,K.Faulk,23,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,17,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,W.Welker,11,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,W.Welker,2,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,B.Watson,5,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,K.Faulk,8,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,D.Stallworth,14,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,M.Vrabel,1,1,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,S.Morris,-3,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,W.Welker,9,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,D.Stallworth,5,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,7,1,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,K.Faulk,8,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,16,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,B.Watson,7,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,6,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,8,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,8,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,20,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,S.Morris,18,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,L.Mankins,-9,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,D.Stallworth,23,0,1
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,D.Stallworth,7,0,0
2007,4,2007_04_NE_CIN,2007-10-01,REG,NE,CIN,NE,T.Brady,R.Moss,14,1,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,K.Brady,7,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,R.Moss,16,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,W.Welker,7,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,R.Moss,20,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,D.Stallworth,7,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,D.Stallworth,34,1,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,K.Faulk,7,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,W.Welker,7,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,D.Stallworth,17,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,W.Welker,3,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,D.Stallworth,7,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,B.Watson,11,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,B.Watson,7,1,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,B.Watson,22,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,S.Morris,4,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,B.Watson,7,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,S.Morris,5,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,J.Gaffney,5,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,R.Moss,10,0,1
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,W.Welker,2,0,0
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,B.Watson,25,1,1
