season,week,game_id,game_date,posteam,home_team,away_team,opponent,home_away,passer_player_name,receiver_player_name,receptions,rec_yards,rec_tds,first_downs,total_air_yards,total_yac
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,BUF,away,T.Brady,T.Brown,2.0,21.0,0.0,2.0,8.0,13.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,B.Watson,7.0,95.0,1.0,5.0,52.0,43.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,C.Dillon,1.0,27.0,0.0,1.0,-2.0,29.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,C.Jackson,1.0,10.0,1.0,1.0,3.0,7.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,D.Gabriel,5.0,83.0,0.0,2.0,41.0,42.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,D.Thomas,1.0,12.0,0.0,1.0,7.0,5.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,J.Gaffney,1.0,4.0,0.0,0.0,4.0,0.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,K.Faulk,2.0,12.0,0.0,0.0,3.0,9.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,L.Maroney,2.0,33.0,0.0,2.0,5.0,28.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,R.Caldwell,7.0,84.0,1.0,5.0,41.0,43.0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,MIN,away,T.Brady,T.Brown,2.0,12.0,1.0,1.0,4.0,8.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,B.Watson,4.0,54.0,0.0,3.0,43.0,11.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,C.Dillon,1.0,5.0,0.0,0.0,5.0,0.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,C.Jackson,1.0,9.0,0.0,0.0,5.0,4.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,D.Gabriel,2.0,45.0,0.0,1.0,37.0,8.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,K.Faulk,5.0,31.0,0.0,1.0,11.0,20.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,L.Maroney,1.0,-1.0,0.0,0.0,-4.0,3.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,R.Caldwell,1.0,21.0,0.0,1.0,19.0,2.0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,IND,home,T.Brady,T.Brown,5.0,37.0,0.0,3.0,31.0,6.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,B.Watson,2.0,16.0,0.0,2.0,14.0,2.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,C.Dillon,1.0,5.0,0.0,0.0,-2.0,7.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,C.Jackson,2.0,5.0,0.0,0.0,3.0,2.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,D.Gabriel,2.0,30.0,0.0,0.0,5.0,25.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,D.Graham,1.0,6.0,0.0,0.0,1.0,5.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,J.Gaffney,3.0,65.0,0.0,3.0,54.0,11.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,K.Faulk,3.0,23.0,0.0,1.0,5.0,18.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,R.Caldwell,9.0,90.0,1.0,5.0,71.0,19.0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,NYJ,home,T.Brady,T.Brown,2.0,15.0,0.0,1.0,2.0,13.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,B.Watson,5.0,74.0,1.0,4.0,49.0,16.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,C.Jackson,1.0,21.0,0.0,1.0,20.0,1.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,D.Graham,1.0,2.0,1.0,1.0,2.0,0.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,J.Gaffney,1.0,4.0,0.0,0.0,4.0,0.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,K.Faulk,1.0,13.0,0.0,1.0,5.0,8.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,L.Maroney,4.0,34.0,1.0,2.0,-2.0,36.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,R.Caldwell,3.0,70.0,1.0,2.0,-24.0,94.0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,GB,away,T.Brady,T.Brown,4.0,26.0,0.0,1.0,16.0,10.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,B.Watson,6.0,89.0,1.0,3.0,68.0,21.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,C.Dillon,1.0,3.0,0.0,0.0,-4.0,7.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,D.Graham,1.0,25.0,0.0,1.0,24.0,1.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,K.Faulk,6.0,37.0,0.0,2.0,13.0,24.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,L.Maroney,4.0,45.0,0.0,3.0,-1.0,46.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,R.Caldwell,3.0,57.0,0.0,3.0,36.0,21.0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,CHI,home,T.Brady,T.Brown,1.0,13.0,0.0,1.0,7.0,6.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,B.Watson,3.0,41.0,0.0,2.0,29.0,12.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,C.Dillon,1.0,5.0,0.0,0.0,-2.0,7.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,D.Gabriel,1.0,12.0,0.0,1.0,12.0,0.0
